timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
386756829,0.91747606,-0.014287586,0.00047081328,0.39753413,0.2702377,-0.22451113,9.353218,2.9549747,196.43965,5.114099
386773496,0.9171114,-0.024101011,0.02674773,0.39700204,-0.6393144,-0.17900956,9.4996195,10.074753,192.4379,10.333219
386790163,0.9146656,-0.034194257,0.051919036,0.39940262,-1.1379284,-0.22233115,9.232693,6.028072,186.0652,19.261652
386806830,0.911663,-0.041327484,0.08008649,0.400935,-1.9025576,-0.17171897,8.667309,32.349663,197.21106,21.89221
386823497,0.9075436,-0.047342576,0.111953095,0.4019826,-2.453271,-0.0035424381,8.748004,49.505615,218.07468,23.604088
386840164,0.90238625,-0.05422327,0.14362285,0.40265572,-2.4447684,0.037357166,8.765227,43.507835,220.15623,23.403364
386856831,0.89688563,-0.059825838,0.17313462,0.4025442,-3.0414555,0.1762213,8.942246,46.108116,203.85323,19.94196
386873498,0.8909667,-0.06397114,0.20211136,0.40154362,-3.8229437,0.39622048,8.619805,54.49914,197.38274,17.131725
386890165,0.8846642,-0.06834444,0.22914417,0.40023905,-4.027312,0.52562994,8.51171,47.983253,186.76562,15.16075
386906832,0.87804466,-0.07260265,0.25326112,0.3995313,-4.5999637,0.59747404,8.201315,39.56902,168.926,18.46973
386923499,0.871004,-0.0781049,0.27580476,0.3989779,-5.0507226,0.6896349,7.743468,27.251883,163.49998,17.612932
386940166,0.86254454,-0.08636943,0.29890132,0.39901772,-5.771493,0.6209909,7.3029947,10.339217,176.76143,20.113684
386956833,0.85260355,-0.09885982,0.3240583,0.39784473,-6.2903085,0.49134707,7.210923,-7.459085,204.34392,9.525189
386973500,0.84255284,-0.11120764,0.34724352,0.39643353,-6.690986,0.90484,7.2813177,-11.558112,192.79167,7.4049344
386990167,0.8330365,-0.12073429,0.36816818,0.39487442,-6.933022,0.9453029,6.8319273,-0.61734253,170.83473,10.100738
387006834,0.824044,-0.12967446,0.38734,0.39256093,-7.03758,0.75063396,6.465172,0.32731453,158.49722,4.384777
387023501,0.81492984,-0.14127985,0.4050121,0.38973677,-7.2462373,0.61151165,6.2347984,-17.570715,157.97208,-6.6149163
387040168,0.8073781,-0.15408741,0.41834894,0.38649973,-7.5766478,0.5024636,6.5178437,-33.25746,132.94841,-20.671783
387056835,0.80163926,-0.16644426,0.42759126,0.3831927,-8.044648,0.54457045,5.7498612,-39.516582,103.87979,-28.91593
387073502,0.79659283,-0.17802325,0.43505865,0.3800942,-8.4274845,0.53665537,5.182047,-39.72603,89.77074,-29.334
387090169,0.7928199,-0.18804553,0.4403491,0.37705207,-8.839554,0.39259234,5.2926574,-35.496445,69.89574,-30.362906
387106836,0.7902748,-0.19637005,0.44355616,0.37438327,-8.893421,0.4503798,4.6879935,-31.182495,49.933933,-29.066055
387123503,0.7875029,-0.20328997,0.44685394,0.37260443,-8.840441,0.40821,4.579082,-26.333506,46.294945,-19.245304
387140170,0.78560174,-0.20766835,0.44922116,0.37135473,-9.091325,0.18938538,4.6351027,-15.361469,31.325127,-12.107833
387156837,0.7852373,-0.20956098,0.44981733,0.37033918,-9.076284,-0.008144587,4.6226525,-4.9816475,10.327041,-9.620815
387173504,0.78661495,-0.21013609,0.44776896,0.36957115,-8.746638,-0.14414504,4.8015904,-2.8534248,-13.054117,-12.459659
387190171,0.79014087,-0.2095538,0.44168603,0.3697004,-8.668119,-0.24898055,5.1031246,-6.500775,-45.726963,-15.332875
387206838,0.7947094,-0.20767765,0.43382025,0.37027988,-8.419843,-0.15899968,4.675708,-3.8646538,-62.516785,-14.178104
387223505,0.79911715,-0.20486586,0.42676464,0.37055886,-8.156268,-0.03423557,4.710701,3.9791322,-59.56638,-11.4655075
387240172,0.8032468,-0.20052849,0.42046368,0.37120512,-8.089463,0.010380338,4.9612765,12.81861,-59.01123,-3.2040617
387256839,0.8069807,-0.19501512,0.41458043,0.37265837,-8.074706,0.0010092892,5.1790977,17.503147,-59.677288,6.233737
387273506,0.8103673,-0.190033,0.40810707,0.37502146,-8.255025,-0.14683156,5.3862934,9.987352,-61.822693,9.862669
387290173,0.8133694,-0.18697436,0.4007452,0.37798715,-8.288241,-0.18797661,5.713415,-5.209873,-61.525513,7.64901
387306840,0.8172359,-0.18630144,0.3890386,0.38218644,-8.280169,-0.2925595,6.4446597,-32.128063,-83.594086,0.13954832
387323507,0.82311916,-0.1857423,0.3714637,0.38728485,-7.8310995,-0.3484762,6.507389,-48.00869,-122.81924,-7.93233
387340174,0.83094066,-0.18418811,0.34984973,0.3914306,-7.4921136,-0.42291427,6.698218,-48.22406,-152.06667,-21.106853
387356841,0.83999825,-0.1809399,0.32538638,0.3946994,-7.389344,-0.3492822,6.6675215,-42.538414,-174.77284,-28.982983
387373508,0.8486795,-0.1770044,0.3013779,0.39696866,-6.837587,-0.41338047,6.633399,-35.564228,-171.92723,-31.639015
387390175,0.8562828,-0.1709627,0.28067714,0.39846227,-5.791709,-0.2221351,6.6214914,-13.947119,-155.19475,-24.8409
387406842,0.862823,-0.16359456,0.26312965,0.39942002,-6.280206,-0.58461237,7.3156166,2.2902958,-137.57945,-18.829636
387423509,0.8687521,-0.15518314,0.24876162,0.39913118,-5.591684,-0.7257502,7.3267426,18.77573,-119.075935,-19.084589
387440176,0.87437767,-0.1468982,0.23562618,0.397951,-5.192945,-0.66617984,7.780324,22.605648,-109.89698,-22.4845
387456843,0.8808601,-0.13511379,0.22142428,0.39598128,-4.9965954,-0.6436526,8.155435,42.870625,-126.47694,-24.986721
387473510,0.88696706,-0.12122494,0.20673919,0.3947824,-4.903044,-0.5673852,8.171568,52.77741,-135.27954,-16.543629
387490177,0.8922867,-0.10732143,0.19230719,0.39411238,-4.6833377,-0.634143,8.516962,52.1453,-133.09952,-10.954399
387506844,0.89788115,-0.0942603,0.17406124,0.39322674,-3.9042099,-0.5627051,8.788863,37.13123,-154.42586,-16.957348
387523511,0.90359634,-0.08077409,0.1542847,0.39138934,-3.6766167,-0.51171815,8.468017,36.83322,-164.55411,-23.644909
387540178,0.90822154,-0.068249635,0.13828847,0.3890399,-3.919952,-0.38634536,8.36603,40.968468,-137.03574,-22.819885
387556845,0.9119167,-0.05620179,0.123863116,0.38717872,-3.0483272,-0.14624518,8.930641,41.293552,-125.301186,-17.007072
387573512,0.9163028,-0.03902996,0.10732798,0.38385746,-2.791088,0.043032095,9.067145,69.3167,-152.2035,-24.460493
387590179,0.9210558,-0.017848665,0.09209978,0.37796205,-2.6291187,0.0024395585,9.459535,100.02551,-154.13937,-38.34323
387606846,0.9250824,-0.0004982235,0.079184435,0.37141922,-2.3624353,0.32167307,9.298464,82.09193,-128.9966,-42.70272
387623513,0.9301274,0.015622509,0.06661503,0.36080682,-2.1723788,1.1634028,9.258585,77.3721,-124.20285,-71.86224
387640180,0.9379553,0.02818603,0.059965573,0.34036723,-0.45916227,0.85713094,9.645082,73.50945,-79.85466,-143.89319
